artist,song,lirik,genre
Nasar,Seperti Mati Lampu,"Janganlah kau tanyakan besarnya cintaku
ku persembahkan untukmu, hanya kepadamu
oh dan janganlah kau ragukan luasnya cintaku
yang putih tulus untukmu, hanya kepadamu

luasnya laut tak seluas cinta yang ku punya
tak sedalam cinta yang ku rasa, cintaku satu untukmu
tingginya langit tak setinggi kasih yang ku punya
tak setinggi kasih yang ku rasa, cintaku satu untukmu

seperti mati lampu ya sayang, seperti mati lampu
cintaku tanpamu ya sayang bagai malam tiada berlalu
seperti mati lampu ya sayang, seperti mati lampu
cintaku tanpamu ya sayang bagai malam tiada berlalu

janganlah kau ragukan luasnya cintaku
yang putih tulus untukmu, hanya kepadamu

luasnya laut tak seluas cinta yang ku punya
tak sedalam cinta yang ku rasa, cintaku satu untukmu
tingginya langit tak setinggi kasih yang ku punya
tak setinggi kasih yang ku rasa, cintaku satu untukmu

seperti mati lampu ya sayang, seperti mati lampu
cintaku tanpamu ya sayang bagai malam tiada berlalu
seperti mati lampu ya sayang, seperti mati lampu
cintaku tanpamu ya sayang bagai malam tiada berlalu

(seperti mati lampu ya sayang, seperti mati lampu
cintaku tanpamu ya sayang bagai malam tiada berlalu)

seperti mati lampu ya sayang, seperti mati lampu
cintaku tanpamu ya sayang bagai malam tiada berlalu",dangdut
Ndarboy Genk,Ambyar Mak Pyar,"Ambyar mak pyar
Balik kanan bubar jalan
Langkah tegak maju
Ninggalke harapan palsu

Durung nembak
Wes ditolak
Atiku wes ikhlas
Mbok gawe babak bundas

Aku cemburu
Weroh kowe mlaku ro kancaku
Nanging aku sadar dudu
Sopo-sopomu

Rong dino rong wengi
Durung mbok balesi
Chat ngucapke selamat pagi
Kowe mbales ojo ngganggu
Lagi ro pacarku

Ambyar mak pyar
Balik kanan bubar jalan
Langkah tegak maju
Ninggalke harapan palsu

Durung nembak
Wes ditolak
Atiku wes ikhlas
Mbok gawe babak bundas

Ra sah dipeksakke
Mikir kowe malah edan dewe
Mergo aku sadar kowe
Wes ono sing nduwe

Senajan loro ati
Kudu dinikmati
Ora perlu ditangisi
Putar gelas lagi

Ambyar mak pyar
Balik kanan bubar jalan
Langkah tegak maju
Ninggalke harapan palsu

Durung nembak
Wes ditolak
Atiku wes ikhlas
Mbok gawe babak bundas

Ambyar mak pyar
Balik kanan bubar jalan
Langkah tegak maju
Ninggalke harapan palsu

Durung nembak
Wes ditolak
Atiku wes ikhlas
Mbok gawe babak bundas

Ambyar mak pyar
Balik kanan bubar jalan
Langkah tegak maju
Ninggalke harapan palsu

Durung nembak
Wes ditolak
Atiku wes ikhlas
Mbok gawe babak bundas

Atiku wes ikhlas
Mbok gawe babak bundas",dangdut
Ndarboy Genk,Mendung Tanpo Udan,"mendung tanpo udan
ketemu lan kelangan
kabeh kui sing diarani perjalanan

awak dewe tau duwe bayangan
besok yen wes wayah omah-omahan
aku moco koran sarungan
kowe belonjo dasteran

nanging saiki wes dadi kenangan
aku karo koe wes pisahan
aku kiri koe kanan, wes bedo dalan

mlaku bebarengan
ben dino sayang-sayangan
sedih lan kebahagiaan
dilewati tahun-tahunan

padu meneng-menengan
bar kui kangen-kangenan
kadang bedo pilihan
nganti pedot balikan

mendung tanpo udan, ketemu lan kelangan
kabeh kui sing diarani perjalanan

awak dewe tau duwe bayangan
besok yen wes wayah omah-omahan
aku moco koran sarungan
kowe belonjo dasteran

nanging saiki wes dadi kenangan
aku karo koe wes pisahan
aku kiri koe kanan, wes bedo dalan

mendung tanpo udan, ketemu lan kelangan
kabeh kui sing diarani perjalanan

awak dewe tau duwe bayangan
besok yen wes wayah omah-omahan
aku moco koran sarungan
kowe belonjo dasteran

nanging saiki wes dadi kenangan
aku karo koe wes pisahan
aku kiri koe kanan, wes bedo dalan

awak dewe tau duwe bayangan
besok yen wes wayah omah-omahan
aku moco koran sarungan
kowe belonjo dasteran

nanging saiki wes dadi kenangan
aku karo koe wes pisahan
aku kiri koe kanan, wes bedo dalan
aku kiri koe kanan, wes bedo dalan",dangdut
Nella Kharisma,Bojo Galak,"Apa salah dan dosaku, sayang
Cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan
Jaran goyang, jaran goyang

Sayang, janganlah kau waton serem
Hubungan kita semula adem
Tapi sekarang kecut bagaikan asem
Semar mesem, semar mesem

Jurus yang sangat ampuh, teruji terpercaya
Tanpa anjuran dokter, tanpa harus muter-muter
Cukup siji solusinya, pergi ke mbah dukun saja
Langsung sambat, ""Mbah, saya putus cinta""

Kalau tidak berhasil, pakai jurus yang kedua
Semar mesem namanya, jaran goyang jodohnya
Cen rodok ndagel syarate, penting di lakoni wae
Ndang di cubo, mesthi kasil terbukti kasiate, genjrot

Dan dudidam aku padamu, I love you
I can't stop loving you oh darling
Jaran goyang menunggumu

Apa salah dan dosaku, sayang, cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan, jaran goyang, jaran goyang
Sayang, janganlah kau waton serem, hubungan kita semula adem
Tapi sekarang kecut bagaikan asem, semar mesem, semar mesem

Wes cukup stop mandekko disek sek sek
Jangan bicara jangan berisek sek sek
Gek ayo ndang mangkat ndukun, rasah kakean ngelamun
Ndukun, ndukun, ndukun ayo ndukun
And slow, woles woles baby baby
Rasakno aku wes wani perih baby
Rungokno, ku alami hal sama dengan dirimu
Bojoku mencampakkan diriku, podo bojomu podo tanggamu

Dan dudidam aku padamu, I love you
I can't stop loving you oh darling
Jaran goyang menunggumu

Apa salah dan dosaku, sayang, cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan, jaran goyang, jaran goyang
Sayang, janganlah kau waton serem, hubungan kita semula adem
Tapi sekarang kecut bagaikan asem, semar mesem, semar mesem

Ini terakhir, cara tuk dapatkan kamu
Jika ini gagal, kan ku racuni dirimu

Apa salah dan dosaku, sayang, cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan, jaran goyang, jaran goyang
Sayang, janganlah kau waton serem, hubungan kita semula adem
Tapi sekarang kecut bagaikan asem, semar mesem, semar mesem

Apa salah dan dosaku, sayang, cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan, jaran goyang, jaran goyang
Sayang, janganlah kau waton serem, hubungan kita semula adem
Tapi sekarang kecut bagaikan asem, semar mesem, semar mesem",dangdut
Nella Kharisma,Jaran Goyang,"Apa salah dan dosaku, sayang
Cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan
Jaran goyang, jaran goyang

Sayang, janganlah kau waton serem
Hubungan kita semula adem
Tapi sekarang kecut bagaikan asem
Semar mesem, semar mesem

Jurus yang sangat ampuh, teruji terpercaya
Tanpa anjuran dokter, tanpa harus muter-muter
Cukup siji solusinya, pergi ke mbah dukun saja
Langsung sambat, ""Mbah, saya putus cinta""

Kalau tidak berhasil, pakai jurus yang kedua
Semar mesem namanya, jaran goyang jodohnya
Cen rodok ndagel syarate, penting di lakoni wae
Ndang di cubo, mesthi kasil terbukti kasiate, genjrot

Dan dudidam aku padamu, I love you
I can't stop loving you oh darling
Jaran goyang menunggumu

Apa salah dan dosaku, sayang, cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan, jaran goyang, jaran goyang
Sayang, janganlah kau waton serem, hubungan kita semula adem
Tapi sekarang kecut bagaikan asem, semar mesem, semar mesem

Wes cukup stop mandekko disek sek sek
Jangan bicara jangan berisek sek sek
Gek ayo ndang mangkat ndukun, rasah kakean ngelamun
Ndukun, ndukun, ndukun ayo ndukun
And slow, woles woles baby baby
Rasakno aku wes wani perih baby
Rungokno, ku alami hal sama dengan dirimu
Bojoku mencampakkan diriku, podo bojomu podo tanggamu

Dan dudidam aku padamu, I love you
I can't stop loving you oh darling
Jaran goyang menunggumu

Apa salah dan dosaku, sayang, cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan, jaran goyang, jaran goyang
Sayang, janganlah kau waton serem, hubungan kita semula adem
Tapi sekarang kecut bagaikan asem, semar mesem, semar mesem

Ini terakhir, cara tuk dapatkan kamu
Jika ini gagal, kan ku racuni dirimu

Apa salah dan dosaku, sayang, cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan, jaran goyang, jaran goyang
Sayang, janganlah kau waton serem, hubungan kita semula adem
Tapi sekarang kecut bagaikan asem, semar mesem, semar mesem

Apa salah dan dosaku, sayang, cinta suciku kau buang-buang
Lihat jurus yang kan ku berikan, jaran goyang, jaran goyang
Sayang, janganlah kau waton serem, hubungan kita semula adem
Tapi sekarang kecut bagaikan asem, semar mesem, semar mesem",dangdut
Rhoma Irama,Begadang,"Begadang jangan begadang
kalau tiada artinya
Begadang boleh saja
kalau ada perlunya

Begadang jangan begadang
kalau tiada artinya
Begadang boleh saja
kalau ada perlunya

Kalau terlalu banyak begadang
Muka pucat karena darah berkurang

Bila sering kena angin malam
Segala penyakit akan mudah datang

Darilah itu sayangi badan
Jangan begadang setiap malam

Begadang jangan begadang
kalau tiada artinya
Begadang boleh saja
kalau ada perlunya

Kalau terlalu banyak begadang
Muka pucat karena darah berkurang

Bila sering kena angin malam
Segala penyakit akan mudah datang

Darilah itu sayangi badan
Jangan begadang setiap malam

Begadang jangan begadang
kalau tiada artinya
Begadang boleh saja
kalau ada perlunya",dangdut
Rhoma Irama,Bujangan,"Katanya enak menjadi bujangan
Ke mana-mana tak ada yang larang
Hidup terasa ringan tanpa beban
Uang belanja tak jadi pikiran
O, bujangan ... bujangan
Bujangan ... bujangan

Enaknya kalau jadi bujangan
Hidup bebas bagai burung terbang
Kantong kosong tidak jadi persoalan

Tapi susahnya menjadi bujangan
Kalau malam tidurnya sendirian
Hanya bantal guling sebagai teman
Mata melotot pikiran melayang
O, bujangan ... bujangan
Bujangan ... bujangan

Susahnya kalau jadi bujangan
Hidup tidak akan bisa tenang
Urusi segala macam sendirian

Ho..., boleh saja hidup membujang
‘Pabila hidup belum mapan
Asalkan jangan suka jajan

Ho..., tidak boleh hidup membujang
Kalau untuk bebas berkencan
Dengan gonta-ganti pasangan

Kalau memang semuanya sudah mungkin
Tentu lebih baik kawin
Karena bahayanya hidup sendirian
Berat menahan godaan",dangdut
Rhoma Irama ft Rita Sugiarto,Cuma Kamu,"cuma kamu sayangku di dunia ini
cuma kamu cintaku di dunia ini
tanpa kamu sunyi ku rasa dunia ini
tanpa kamu hampa ku rasa dunia ini

cuma kamu sayangku di dunia ini
cuma kamu cintaku di dunia ini

tiada kalimat dapat melukiskan
betapa sayangku kepada dirimu
tiada ibarat sebagai umpama
betapa cinta kepada dirimu

itu dapat ku rasa 
dari belai tanganmu
itu dapat ku rasa 
dari pandang matamu

cuma kamu sayangku di dunia ini
cuma kamu cintaku di dunia ini
tanpa kamu sunyi ku rasa dunia ini
tanpa kamu hampa ku rasa dunia ini

cuma kamu sayangku di dunia ini
cuma kamu cintaku di dunia ini",dangdut
Trio Macan,Iwak Peyek,"Ooo ooo ooo ooo
ooo ooo ooo ooo

Iwak peyek iwak peyek iwak peyek nasi jagung
sampek tuek sampek nenek trio macan tetap disanjung
iwak peyek iwak peyek iwak peyek nasi gule
sampek tuek sampek nenek trio macan tetap oke

Ooo ooo ooo ooo

Di sini aku menghibur kamu menyanyi dan bergoyang bersamamu (asolole)
di sini aku mengajak kamu bergembira dan bahagia selalu
di sini aku menghibur kamu menyanyi dan bergoyang bersamamu (asolole)
di sini aku mengajak kamu bergembira dan bahagia selalu

Ooo ooo ooo ooo
ooo ooo ooo ooo

Iwak peyek iwak peyek iwak peyek nasi jagung
sampek tuek sampek nenek trio macan tetap disanjung
iwak peyek iwak peyek iwak peyek nasi gule
sampek tuek sampek nenek trio macan tetap oke

Ooo ooo ooo ooo

Di sini aku menghibur kamu menyanyi dan bergoyang bersamamu (asolole)
di sini aku mengajak kamu bergembira dan bahagia selalu
di sini aku menghibur kamu menyanyi dan bergoyang bersamamu (asolole)
di sini aku mengajak kamu bergembira dan bahagia selalu

Ooo ooo ooo ooo
ooo ooo ooo ooo",dangdut
Adhitia Sofyan,Sesuatu di Jogja,"Hey cantik, coba kau catat
Keretaku tiba pukul empat sore
Tak usah kau tanya aku ceritakan nanti
Hey cantik, kemana saja?
Tak ada berita, sedikit cerita
Tak kubaca lagi pesan di ujung malam
Dan Jakarta muram kehilanganmu
Terang lampu kota tak lagi sama
Sudah saatnya kau tengok puing yang tertinggal
Sampai kapan akan selalu berlari?
Hingga kini masih selalu ku nanti-nanti
Terbawa lagi langkahku ke sana
Mantra apa entah yang istimewa
Ku percaya selalu ada sesuatu di Jogja
Dengar lagu lama ini katanya
Izinkan aku pulang ke kotamu
Ku percaya selalu ada sesuatu di Jogja
Hey cantik, bawa aku jalan
Jalan kaki saja menyusuri kota
Ceritakan semua, ceritamu padaku
Ya Jakarta diam kehilanganmu
Bau wangi hujan tak lagi sama
Sudah saatnya kau jemput musik yang tertinggal
Sampai kapan aku kan bernyanyi sendiri?
Hingga kini masih selalu menanti-nanti
Terbawa lagi langkahku ke sana
Mantra apa entah yang istimewa
Ku percaya selalu ada sesuatu di Jogja
Dengar lagu lama ini katanya
Izinkan aku pulang ke kotamu
Ku percaya selalu ada sesuatu di Jogja
Ingat waktu itu ku bertanya
Aku mau dengar jawabnya
Terbawa lagi langkahku ke sana
Mantra apa entah yang istimewa
Ku percaya selalu ada sesuatu di Jogja
Dengar lagu lama ini katanya
Izinkan aku pulang ke kotamu
Ku percaya selalu ada sesuatu di Jogja",indie
Banda Neira,Sampai Jadi Debu,"Badai Tuan telah berlalu
Salahkah ku menuntut mesra?
Tiap pagi menjelang
Kau di sampingku
Ku aman ada bersamamu
Selamanya
Sampai kita tua
Sampai jadi debu
Ku di liang yang satu
Ku di sebelahmu
Badai Puan telah berlalu
Salahkah ku menuntut mesra?
Tiap taufan menyerang
Kau di sampingku
Kau aman ada bersamaku
Selamanya
Sampai kita tua
Sampai jadi debu
Ku di liang yang satu
Ku di sebelahmu",indie
Daun Jatuh,Resah Jadi Luka,"Ku menemukanmu saat ku terjebak
Di situasi yang membuatku resah
Kau merangkulku di saat yang lain menindasku
Ingin rasanya aku selalu bersamamu
Tapi mengapa tiba-tiba seakan kau pergi
Melepas rangkulanmu dan berhenti melindungiku tanpa sebab
Mungkin alam semesta tak menerimanya
Dan waktu tak memberi kesempatannya
Tapi setidaknya kau telah merubahku
Dari resah menjadi luka
Ku menemukanmu saat aku terjatuh
Ke dalam ruang yang penuh kepahitan
Kau melindungiku di saat yang lain menyerangku
Ingin rasanya aku melihatmu di setiap langkahku
Tapi mengapa tiba-tiba seakan kau pergi
Melepas rangkulanmu dan berhenti melindungiku tanpa sebab
Mungkin alam semesta tak menerimanya
Dan waktu tak memberi kesempatannya
Tapi setidaknya kau telah merubahku
Dari resah menjadi luka ah
Namun aku akan tetap disini
Menunggu alam semesta menerima
Dan angin membawakan jawabannya
Karena detak jantung dan nadiku akan selalu
Merindukanmu",indie
Efek Rumah Kaca,December,"Selalu ada yang bernyanyi dan berelegi
Dibalik awan hitam
Semoga ada yang menerangi sisi gelap ini
Menanti seperti pelangi setia
Menunggu hujan reda
Aku selalu suka sehabis hujan dibulan Desember
Di bulan Desember
Selalu ada yang bernyanyi dan berelegi
Dibalik awan hitam
Semoga ada yang menerangi sisi gelap ini
Menanti seperti pelangi setia
Menunggu hujan reda
Aku selalu suka sehabis hujan dibulan Desember
Di bulan Desember
Sampai nanti ketika hujan tak lagi
Meneteskan duka meretas luka
Sampai hujan memulihkan luka
Aku selalu suka sehabis hujan dibulan Desember
Di bulan Desember
Karna aku selalu suka sehabis hujan dibulan Desember
Di bulan Desember
Seperti pelangi setia
Menunggu hujan reda",indie
Dere,Kota,"Di kota ini sehabis hujan
Desember yang lalu
Di kota ini dalam ruangan
Berpenyejuk udara
Kau dan wangimu bersanding dengan
Riuh angin di luar
Udara mana kini yang kau hirup?
Hujan di mana kini yang kau peluk?
Di mana pun kau kini
Rindu tentangmu tak pernah pergi
Di jalan ini menguning langit
Berkendara denganmu
Tajam mentari menembus pelan
Bening teduh matamu
Kau dan wangimu berpadu utuh
Tabungan kelak rindu
Udara mana kini yang kau hirup?
Hujan di mana kini yang kau peluk?
Di mana pun kau kini, hmm
Rindu tentangmu tak pernah pergi
Udara mana kini yang kau hirup?
Hujan di mana kini yang kau peluk?
Di mana pun kau kini, uh-uuh
Rindu tentangmu tak pernah pergi
Rindu tentangmu tak pernah pergi",indie
Efek Rumah Kaca,Seperti Rahim Ibu,"Dengarlah nyanyi sunyiku
Bait risauku
Rindu terpendamku
Menyala dalam hayatku
Duka padamu
Luka padaku
Saling lebur
Menghalau awan mendung
Kemanusiaan itu
Seperti terang pagi
Merekahkan harapan
Menepis kabut kelam
Niatkan tinju terkepal
Pekik menebal
Terjang aral
Pagi pasti terkejar
Seandainya negeriku
Serupa rahim ibu
Merawat kehidupan
Menguatkan yang rapuh
Seandainya negeriku
Serupa rahim ibu
Merawat kehidupan
Menguatkan yang rapuh
Merawat kehidupan
Menguatkan yang rapuh
Menjadi terang pagi
Menjelma rahim ibu
Menjadi terang pagi
Menjelma rahim ibu",indie
