artist,song,lirik,language,genre,Label
Pamungkas,Kenangan Manis,"Tawa yang terlepas tanpa ada makna
Cerita lama yang selalu dibawa
Diam-diam hati ini mengerti
Teringat dan jadi ciri tentangmu, tentangmu
'Tuk sementara, sampai berjumpa
Bersama-sama, bercanda lagi
Kenangan manis di hari ini
Jadi alasan untuk kembali
Semua mimpi tinggi dan segala drama
Dijadikan canda, dikeluh bersama
Terkadang-kadang mata bicara
Seakan-akan semua rahasia
Oh, kebodohan antara kita jadi kenangan manis
'Tuk sementara, sampai berjumpa
Bersama-sama, bercanda lagi
Kenangan manis di hari ini
Jadi alasan untuk kembali
'Tuk sementara, sampai berjuma
Bersama-sama, bercanda lagi
Kenangan manis di hari ini
Jadi alasan untuk kembali
Kenangan manis sehari ini
Jadi alasan untuk kembali (alasan untuk kembali)
Yeah, jadi alasan untuk kembali",indonesian,indie,FALSE
Tulus,Monokrom,"Lembaran foto hitam putih
Aku coba ingat lagi
Warna bajumu kala itu
Kali pertama di hidupku
Manusia lain memelukku
Lembaran foto hitam putih
Aku coba ingat lagi
Wangi rumah di sore itu
Kue coklat, balon warna-warni
Pesta hari ulang tahunku
Dimanapun kalian berada
Kukirimkan terima kasih
Untuk warna dalam hidupku
Dan banyak kenangan indah
Kau melukis aku
Lembaran foto hitam putih
Kembali teringat malam, kuhitung-hitung bintang
Saat mataku sulit tidur, suaramu buatku lelap
Dimanapun kalian berada
Kukirimkan terima kasih
Untuk warna dalam hidupku
Dan banyak kenangan indah
Kau melukis aku
Kita tak pernah tahu
Berapa lama kita diberi waktu
Jika aku pergi lebih dulu, jangan lupakan aku
Ini lagu untukmu, ungkapan terima kasihku
Lembar monokrom hitam putih
Aku coba ingat warna demi warna dihidupku
Tak akan kumengenal cinta bila bukan karena hati baikmu",indonesian,pop,FALSE
Budi Doremi,Melukis Senja,"Aku mengerti perjalanan hidup yang kini kau lalui
Ku berharap meski berat kau tak merasa sendiri
Kau telah berjuang menaklukankan hari-hari mu yang tak mudah
Biar ku menemanimu membasuh lelah mu
Izinkan ku lukis senja
Mengukir namamu di sana
Mendengar kamu bercerita
Menangis tertawa
Biar ku lukis malam
Bawa kamu bintang-bintang
Tuk temanimu yang terluka
Hingga kau bahagia
Aku disini walau letih coba lagi jangan berhenti
Ku berharap meski berat kau tak merasa sendiri
Kau telah berjuang menaklukankan hari-hari mu yang tak indah
Biar ku menemanimu membasuh lelah mu
Izinkan ku lukis senja
Mengukir namamu di sana
Mendengar kamu bercerita
Menangis tertawa
Biar ku lukis malam
Bawa kamu bintang-bintang
Tuk temanimu yang terluka
Hingga kau bahagia hah
Izinkan ku lukis senja
Mengukir namamu di sana
Mendengar kamu bercerita
Menangis tertawa
Biar ku lukis malam
Bawa kamu bintang-bintang
Tuk temanimu yang terluka
Hingga kau bahagia
Tuk temanimu yang terluka
Hingga kau bahagia",indonesian,pop,FALSE
Febi Putri ft Fiersa Besari,Runtuh,"Ku terbangun lagi
Diantara sepi hanya pikiran yang ramai
Mengutuki diri
Tak bisa kembali tuk mengubah alur kisah

Ketika mereka meminta tawa
Ternyata rela tak semudah kata

Tak perlu khawatir ku hanya terluka
Terbiasa tuk pura pura tertawa
Namun bolehkah skali saja ku menangis
Sebelum kembali membohongi diri

Ketika kau lelah
Berhentilah dulu, beri ruang, beri waktu
Mereka bilang syukurilah saja
Padahal rela tak semudah kata

Tak perlu khawatir ku hanya terluka
Terbiasa tuk pura pura tertawa
Namun bolehkah skali saja ku menangis
Sebelum kembali membohongi diri

Ha ha ha aaa
Ha ha ha aaa
Ha ha ha aaaa

Kita hanyalah manusia yang terluka
Terbiasa tuk pura pura tertawa
Namun bolehkah skali saja ku menangis
Ku tak ingin lagi membohongi diri
Ku ingin belajar menerima diri",indonesian,pop,FALSE
Hindia ft Rara Sekar,Membasuh,"Selama ini
Kunanti
Yang kuberikan datang berbalik
Tak kunjung pulang
Apa pun yang terbilang
Di daftar pamrihku seorang
Telah kusadar hidup bukanlah
Perihal mengambil yang kau tebar
Sedikit air yang kupunya
Milikmu juga bersama
Bisakah kita tetap memberi
Walau tak suci?
Bisakah terus mengobati
Walau membiru?
Cukup besar 'tuk mengampuni
'Tuk mengasihi
Tanpa memperhitungkan masa yang lalu
Walau kering
Bisakah kita tetap membasuh?
Kita bergerak dan bersuara
Berjalan jauh tumbuh bersama
Sempatkan pulang ke beranda
'Tuk mencatat hidup dan harganya
Bisakah kita tetap memberi
Walau tak suci?
Bisakah terus mengobati
Walau membiru?
Cukup besar 'tuk mengampuni
'Tuk mengasihi
Tanpa memperhitungkan masa yang lalu
Walau kering
Bisakah kita tetap membasuh?
Mengering sumurku
Terisi kembali
Kutemukan
Makna hidupku disini
Mengering sumurku
Terisi kembali
Kutemukan
Makna hidupku di sini
Bisakah kita tetap memberi
Walau tak suci?
Bisakah terus mengobati
Walau membiru?
Cukup besar 'tuk mengampuni
'Tuk mengasihi
Tanpa memperhitungkan masa yang lalu
Walau kering
Bisakah kita tetap membasuh?
Membasuh
Mengering sumurku
Terisi kembali
Kutemukan
Makna hidupku di sini
Mengering sumurku
Terisi kembali
Kutemukan
Makna hidupku di sini
Mengering sumurku
Terisi kembali
Kutemukan
Makna hidupku di sini
Mengering sumurku
Terisi kembali
Kutemukan
Makna hidupku di sini",indonesian,indie,FALSE
Hindia,Rumah ke Rumah,"Menyesal tak kusampaikan
Cinta monyetku ke Kanya dan Rebecca
Apa kabar kalian di sana
Semoga hidup baik-baik saja
Tak belajar terkena getahnya
Saat bersama Thanya dan Saphira
Kupercaya mungkin bukan jalannya
Namun kalian banyak salah juga
Jika dahulu ku tak cepat berubah
Ini maafku untukmu Sharfina
Segala doa yang baik adanya
Untukmu dan mimpimu yang mulia
Pindah berkala rumah ke rumah
Berharap bisa berujung indah
Walau akhirnya harus berpisah
Trima kasih karna ku tak mudah
Pindah berkala rumah ke rumah
Berharap bisa berujung indah
Walau akhirnya harus berpisah
Trima kasih karna ku tak mudah
Hm
Maaf jika ku sering buat susah
Indisya Panda Anggra Caca Sismita
Prempuan terkuat dalam hidupku
Terjanglah apa pun yang kalian tuju
Kau datang saat gelapku merekah
Seluruh hatiku untukmu Meidiana
Kau pantas dapatkan yang baik di dunia
Smoga kita bertahan lama
Pindah berkala rumah ke rumah
Mengambil pelajaran jika berpisah
Jikalau suatu saat berujung indah
Catat nama kita dalam sejarah
Pindah berkala rumah ke rumah
Mengambil pelajaran jika berpisah
Jikalau suatu saat berujung indah
Catat nama kita dalam sejarah
Letih mengembara rumah ke rumah
Kadang ku lupa akanmu Amalia
Siap sedia tiap ku bercerita
Ku beruntung jadi anakmu Bunda
Pindah berkala rumah ke rumah
Selalu pada dirimu aku berserah
Jika aku disebut dalam sejarah
Mreka takkan lupa karna siapa
Pindah berkala rumah ke rumah
Selalu pada dirimu aku berserah
Jika aku disebut dalam sejarah
Mreka takkan lupa karna siapa",indonesian,indie,FALSE
Hindia,Secukupnya,"Kapan terakhir kali kamu dapat tertidur tenang (renggang)
Tak perlu memikirkan tentang apa yang akan datang di esok hari
Tubuh yang berpatah hati bergantung pada gaji
Berlomba jadi asri mengais validasi
Dan aku pun terhadir
Seakan paling mahir
Menenangkan dirimu
Yang merasa terpinggirkan dunia
Tak pernah adil
Kita semua gagal
Angkat minumanmu
Bersedih bersama-sama
Ah ah ah ah
Sia-sia pada akhirnya
Putus asa terekam pedih semua
Masalahnya lebih dari yang secukupnya
Rekam gambar dirimu yang terabadikan bertahun silam
Putra putri sakit hati Ayah Ibu sendiri
Komitmen lama mati hubungan yang menyepi
Wisata masa lalu
Kau hanya merindu
Mencari pelarian
Dari pengabdian yang terbakar sirna
Mengapur berdebu
Kita semua gagal
Ambil sedikit tisu
Bersedihlah secukupnya
Ah ah ah ah
Secukupnya kan masih ada
Penggantinya belum waktunya kau bisa
Menjawabnya ah ah ah ah ah secukupnya
Semua yang sirna kan kembali lagi
Semua yang sirna kan nanti berganti",indonesian,indie,FALSE
Fourtwnty,Kita Pasti Tua,"Ini cerita ketika tulang mulai menua
Masih mungkin ada hasrat yang menggebu-gebu
Berkumpul dan bernyanyi seperti dulu
Wajah tampanku, keriput dan badanku membungkuk
Rasa ingin tak percaya kini ku menua
Tak menggoda layaknya saat muda
Awas nanti tua
Kita pasti tua
Lemah dan tak bertenaga
Mulai rentan berkelana
Dibalik rambut putihku
Wajah tampanku, keriput dan badanku membungkuk
Rasa ingin tak percaya kini ku telah menua
Tak menggoda layaknya saat muda
Awas nanti tua
Awas nanti tua
Kita pasti tua
Lemah dan tak bertenaga
Mulai rentan berkelana
Dibalik rambut putihku
Kita pasti tua
Mulai pelan dan pelupa
Rabun sudah bola mata
Ada yang tak berubah
Kita pasti tua
Kita pasti tua
Kita pasti tua
Awas nanti tua
Kita pasti tua
Lemah dan tak bertenaga
Mulai rentan berkelana
Dibalik rambut putihku
Kita pasti tua
Mulai pelan dan pelupa
Rabun sudah bola mata
Ada yang tak berubah jiwa masih muda
Jika nanti sudah tua
Mulai jarang bersenggama
Tunggu saja waktunya
Kita pasti tua
Kita pasti tua",indonesian,indie,FALSE
Adhitia Sofyan,Sesuatu di Jogja,"Hey cantik, coba kau catat
Keretaku tiba pukul empat sore
Tak usah kau tanya aku ceritakan nanti
Hey cantik, kemana saja?
Tak ada berita, sedikit cerita
Tak kubaca lagi pesan di ujung malam
Dan Jakarta muram kehilanganmu
Terang lampu kota tak lagi sama
Sudah saatnya kau tengok puing yang tertinggal
Sampai kapan akan selalu berlari?
Hingga kini masih selalu ku nanti-nanti
Terbawa lagi langkahku ke sana
Mantra apa entah yang istimewa
Ku percaya selalu ada sesuatu di Jogja
Dengar lagu lama ini katanya
Izinkan aku pulang ke kotamu
Ku percaya selalu ada sesuatu di Jogja
Hey cantik, bawa aku jalan
Jalan kaki saja menyusuri kota
Ceritakan semua, ceritamu padaku
Ya Jakarta diam kehilanganmu
Bau wangi hujan tak lagi sama
Sudah saatnya kau jemput musik yang tertinggal
Sampai kapan aku kan bernyanyi sendiri?
Hingga kini masih selalu menanti-nanti
Terbawa lagi langkahku ke sana
Mantra apa entah yang istimewa
Ku percaya selalu ada sesuatu di Jogja
Dengar lagu lama ini katanya
Izinkan aku pulang ke kotamu
Ku percaya selalu ada sesuatu di Jogja
Ingat waktu itu ku bertanya
Aku mau dengar jawabnya
Terbawa lagi langkahku ke sana
Mantra apa entah yang istimewa
Ku percaya selalu ada sesuatu di Jogja
Dengar lagu lama ini katanya
Izinkan aku pulang ke kotamu
Ku percaya selalu ada sesuatu di Jogja",indonesian,indie,FALSE
Banda Neira,Sampai Jadi Debu,"Badai Tuan telah berlalu
Salahkah ku menuntut mesra?
Tiap pagi menjelang
Kau di sampingku
Ku aman ada bersamamu
Selamanya
Sampai kita tua
Sampai jadi debu
Ku di liang yang satu
Ku di sebelahmu
Badai Puan telah berlalu
Salahkah ku menuntut mesra?
Tiap taufan menyerang
Kau di sampingku
Kau aman ada bersamaku
Selamanya
Sampai kita tua
Sampai jadi debu
Ku di liang yang satu
Ku di sebelahmu",indonesian,indie,FALSE
Daun Jatuh,Resah Jadi Luka,"Ku menemukanmu saat ku terjebak
Di situasi yang membuatku resah
Kau merangkulku di saat yang lain menindasku
Ingin rasanya aku selalu bersamamu
Tapi mengapa tiba-tiba seakan kau pergi
Melepas rangkulanmu dan berhenti melindungiku tanpa sebab
Mungkin alam semesta tak menerimanya
Dan waktu tak memberi kesempatannya
Tapi setidaknya kau telah merubahku
Dari resah menjadi luka
Ku menemukanmu saat aku terjatuh
Ke dalam ruang yang penuh kepahitan
Kau melindungiku di saat yang lain menyerangku
Ingin rasanya aku melihatmu di setiap langkahku
Tapi mengapa tiba-tiba seakan kau pergi
Melepas rangkulanmu dan berhenti melindungiku tanpa sebab
Mungkin alam semesta tak menerimanya
Dan waktu tak memberi kesempatannya
Tapi setidaknya kau telah merubahku
Dari resah menjadi luka ah
Namun aku akan tetap disini
Menunggu alam semesta menerima
Dan angin membawakan jawabannya
Karena detak jantung dan nadiku akan selalu
Merindukanmu",indonesian,indie,FALSE
Efek Rumah Kaca,December,"Selalu ada yang bernyanyi dan berelegi
Dibalik awan hitam
Semoga ada yang menerangi sisi gelap ini
Menanti seperti pelangi setia
Menunggu hujan reda
Aku selalu suka sehabis hujan dibulan Desember
Di bulan Desember
Selalu ada yang bernyanyi dan berelegi
Dibalik awan hitam
Semoga ada yang menerangi sisi gelap ini
Menanti seperti pelangi setia
Menunggu hujan reda
Aku selalu suka sehabis hujan dibulan Desember
Di bulan Desember
Sampai nanti ketika hujan tak lagi
Meneteskan duka meretas luka
Sampai hujan memulihkan luka
Aku selalu suka sehabis hujan dibulan Desember
Di bulan Desember
Karna aku selalu suka sehabis hujan dibulan Desember
Di bulan Desember
Seperti pelangi setia
Menunggu hujan reda",indonesian,indie,FALSE
Dere,Kota,"Di kota ini sehabis hujan
Desember yang lalu
Di kota ini dalam ruangan
Berpenyejuk udara
Kau dan wangimu bersanding dengan
Riuh angin di luar
Udara mana kini yang kau hirup?
Hujan di mana kini yang kau peluk?
Di mana pun kau kini
Rindu tentangmu tak pernah pergi
Di jalan ini menguning langit
Berkendara denganmu
Tajam mentari menembus pelan
Bening teduh matamu
Kau dan wangimu berpadu utuh
Tabungan kelak rindu
Udara mana kini yang kau hirup?
Hujan di mana kini yang kau peluk?
Di mana pun kau kini, hmm
Rindu tentangmu tak pernah pergi
Udara mana kini yang kau hirup?
Hujan di mana kini yang kau peluk?
Di mana pun kau kini, uh-uuh
Rindu tentangmu tak pernah pergi
Rindu tentangmu tak pernah pergi",indonesian,indie,FALSE
Efek Rumah Kaca,Seperti Rahim Ibu,"Dengarlah nyanyi sunyiku
Bait risauku
Rindu terpendamku
Menyala dalam hayatku
Duka padamu
Luka padaku
Saling lebur
Menghalau awan mendung
Kemanusiaan itu
Seperti terang pagi
Merekahkan harapan
Menepis kabut kelam
Niatkan tinju terkepal
Pekik menebal
Terjang aral
Pagi pasti terkejar
Seandainya negeriku
Serupa rahim ibu
Merawat kehidupan
Menguatkan yang rapuh
Seandainya negeriku
Serupa rahim ibu
Merawat kehidupan
Menguatkan yang rapuh
Merawat kehidupan
Menguatkan yang rapuh
Menjadi terang pagi
Menjelma rahim ibu
Menjadi terang pagi
Menjelma rahim ibu",indonesian,indie,FALSE
Enau,Negara Lucu,"Sudut pandangku tentang mereka
Yang banyak tanya tanpa membaca
Katanya sekolah, tapi otaknya mana?
Tolong dirubah pola fikirnya
Banyak gaya, kosong isinya
Sedikit gerak, banyak maunya
Bangun, usaha untuk orang rumah
Biar kompormu tetap menyala
Yang susah, gayanya nomer satu
Sana-sini jadi benalu
Ini pandangan dari kacamataku
Tentang negara yang lucu
Bukan jalan buntu
(Huu...) 'Ku coba membantu
(Huu...) Merubah arahmu berlaku
Takkan tampak jika tidak bergerak
Takkan mudah untuk sampai merekah
Tak berwarna, kau tak berbeda
Banyak gaya, kosong isinya
Sedikit gerak, banyak maunya
Bangun, usaha untuk orang rumah
Biar kompormu tetap menyala
Yang susah, gayanya nomer satu
Yang senang hasil nipu
Ini pandangan dari kacamataku
Tentang negara yang lucu
Bukan jalan buntu
(Huu...) 'Ku coba membantu
(Huu...) Merubah arahmu berlaku
Takkan tampak jika tidak bergerak
Takkan mudah untuk sampai merekah
Tak berwarna jika kau tak berbeda
Takkan tampak jika tidak bergerak
Takkan mudah untuk sampai merekah
Tak berwarna, kau tak berbeda, uh
Hoo, takkan tampak jika tidak bergerak
Takkan mudah untuk sampai merekah
Tak berwarna jika kau tak berbeda
Takkan tampak jika tidak bergerak
Takkan mudah untuk sampai merekah
Tak berwarna, kau tak berbeda
Bukan jalan buntu (bukan jalan buntu)
'Ku coba membantu (membantu)
Huu...",indonesian,indie,FALSE
Fourtwnty,Fana Merah Jambu,"Di depan teras rumah
Fana merah jambu, ku berdua
Momen-momen tak palsu
Air tuhan turun, aromamu
Tersalurkan aliran syaraf buntu
Martin tua media pembuka
Berdansa sore hariku
Sejiwa alam dan duniamu
Melebur sifat kakuku
Hal bodoh jadi lucu
Obrolan tak perlu kala itu
Oh tersalurkan aliran syaraf buntu
Martin tua media pembuka
Berdansa sore hariku
Sejiwa alam dan duniamu
Melebur sifat kakuku
Rasanya tak cukup waktu
Terlalu cepat berlalu
Soreku nyaman denganmu
Menarilah, menarilah
Menarilah denganku
Genggam tangan cokelatku
Berputar-putar denganku
Menarilah denganku
Menarilah, menarilah
Tersalurkan aliran syaraf buntu
Martin tua media pembuka
Tersalurkan aliran syaraf buntu
Martin tua media pembuka
Media pembuka
Berdansa sore hariku
Sejiwa alam dan duniamu
Melebur sifat kakuku
Rasanya tak cukup waktu
Terlalu cepat berlalu
Soreku nyaman denganmu
Oh Menarilah, menarilah
Oh Menarilah denganku
Genggam tangan cokelatku
Berputar - putar denganku
Menarilah denganku
Menarilah",indonesian,indie,FALSE
